Abstract,tokenized_abstract
"Since the coronavirus disease 2019 (COVID-19) pandemic began, telemedicine use has transformed healthcare delivery. Yet there is concern that telemedicine may widen care disparities for vulnerable populations, and patient experience data are limited.",Since coronavirus disease 2019 COVID19 pandemic began telemedicine use transformed healthcare delivery Yet concern telemedicine may widen care disparities vulnerable populations patient experience data limited
"The American Diabetes Association and the European Association for the Study of Diabetes consensus statement 2022 effectively captures the changing paradigm of modern diabetes care. As emphasized in the guidelines, a person-centered decision cycle focusing on preventing complications and improving quality of life is the driving principle behind modern diabetes management. Other notable features of the document are its emphasis on self-management education, therapeutic behaviour, sleep hygiene, nonalcoholic fatty liver disease and weight loss. Focus on individualization of care, social determinants of health, and ethnic variations are pertinent from an Afro-Asian perspective. The ""language matters"" section is a welcome addition that will help to overcome several barriers in diabetes care.",American Diabetes Association European Association Study Diabetes consensus statement 2022 effectively captures changing paradigm modern diabetes care emphasized guidelines personcentered decision cycle focusing preventing complications improving quality life driving principle behind modern diabetes management notable features document emphasis selfmanagement education therapeutic behaviour sleep hygiene nonalcoholic fatty liver disease weight loss Focus individualization care social determinants health ethnic variations pertinent AfroAsian perspective language matters section welcome addition help overcome several barriers diabetes care
"β-Thalassemia patients may have cardiac complications due to iron overload, which puts them at higher risk of cardiac complications induced by coronavirus disease 2019 (COVID-19) compared with the normal population. The present study aims to evaluate early cardiovascular complications following iron overload in β-thalassemia patients who had early recovery from COVID-19 by cardiac magnetic resonance imaging (MRI) and feature-tracking technique.",βThalassemia patients may cardiac complications due iron overload puts higher risk cardiac complications induced coronavirus disease 2019 COVID19 compared normal population present study aims evaluate early cardiovascular complications following iron overload βthalassemia patients early recovery COVID19 cardiac magnetic resonance imaging MRI featuretracking technique
"Social determinants of health are important in designing effective interventions for hepatitis B virus (HBV) infection. This systematic review characterises equity-oriented, social determinants of health-focused HBV interventions, and describes their effectiveness in terms of the prevention, care, or treatment of HBV in high-income countries. We searched electronic databases for central concepts of 'HBV', 'equity', 'social determinants of health', 'intervention', and 'Organization for Economic Co-operation and Development (OECD) countries'. Screening and data abstraction were conducted independently by two reviewers. Data were abstracted from 66 studies; articles with a comparative study design (n=36) were included in the narrative synthesis, highlighting social determinants of health domains of interventions, HBV-relevant health outcomes, and extra-health social determinants of health effects (ie, those effects that extend beyond health outcomes). Synthesis aligned with six emergent themes corresponding to HBV prevention and care: knowledge and education, diagnosis and screening, immunisation, care initiation, engagement with clinical care and treatment, and upstream prevention. Studies presented a heterogeneous array of HBV-relevant health outcomes. Most interventions were tailored for social determinants of health domains of race, ethnicity, culture, and language; drug use; and socioeconomic status. Across the themes, at least two-thirds of interventions showed comparative effectiveness for addressing HBV. Extra-health social determinants of health outcomes were observed for two studies. Considerable diversity in population-level approaches was observed regarding intervention goals and effectiveness; most interventions were effective at enhancing the prevention, care, or treatment of HBV.",Social determinants health important designing effective interventions hepatitis B virus HBV infection systematic review characterises equityoriented social determinants healthfocused HBV interventions describes effectiveness terms prevention care treatment HBV highincome countries searched electronic databases central concepts HBV equity social determinants health intervention Organization Economic Cooperation Development OECD countries Screening data abstraction conducted independently two reviewers Data abstracted 66 studies articles comparative study design n36 included narrative synthesis highlighting social determinants health domains interventions HBVrelevant health outcomes extrahealth social determinants health effects ie effects extend beyond health outcomes Synthesis aligned six emergent themes corresponding HBV prevention care knowledge education diagnosis screening immunisation care initiation engagement clinical care treatment upstream prevention Studies presented heterogeneous array HBVrelevant health outcomes interventions tailored social determinants health domains race ethnicity culture language drug use socioeconomic status Across themes least twothirds interventions showed comparative effectiveness addressing HBV Extrahealth social determinants health outcomes observed two studies Considerable diversity populationlevel approaches observed regarding intervention goals effectiveness interventions effective enhancing prevention care treatment HBV
"While the vaccination was introduced as a promising tool to control the Coronavirus disease 2019 (COVID-19) pandemic, concerns about vaccine-related side effects had grown. Due to the widespread administration of the COVID-19 vaccine worldwide for the first time, it was necessary to evaluate the safety and potential side effects in recipients. This study aims to assess, the incidence of adverse effects following Oxford-AstraZeneca vaccination and identify their related factors. In this cross-sectional survey-based study, 453 volunteers participated, including 235 men and 218 women. The reported adverse reactions from recipients of the ChAdOx1 nCoV-19 (Oxford-AstraZeneca) vaccine were collected by using a questionnaire. The findings showed that the incidence of adverse reactions, such as neurological, systematic, gastrointestinal, respiratory, and local symptoms were significantly higher after the first dose compared to the second dose. Systematic symptoms were the most prevalent reported side effects after the first and second dose injection. The demographical study of participants showed that individuals aged 18-34 and females were more prone to present adverse events following vaccination. However, no significant relationship was found between the occurrence of side effects and the recipients' body mass index. Despite the life-saving role of vaccination against SARS-CoV-2, it may have some adverse reactions in recipients. The severity and frequency of side effects were different. So, they were dependent on several factors, including gender and age. Altogether, post-vaccination adverse reactions were mild and tolerable.",vaccination introduced promising tool control Coronavirus disease 2019 COVID19 pandemic concerns vaccinerelated side effects grown Due widespread administration COVID19 vaccine worldwide first time necessary evaluate safety potential side effects recipients study aims assess incidence adverse effects following OxfordAstraZeneca vaccination identify related factors crosssectional surveybased study 453 volunteers participated including 235 men 218 women reported adverse reactions recipients ChAdOx1 nCoV19 OxfordAstraZeneca vaccine collected using questionnaire findings showed incidence adverse reactions neurological systematic gastrointestinal respiratory local symptoms significantly higher first dose compared second dose Systematic symptoms prevalent reported side effects first second dose injection demographical study participants showed individuals aged 1834 females prone present adverse events following vaccination However significant relationship found occurrence side effects recipients body mass index Despite lifesaving role vaccination SARSCoV2 may adverse reactions recipients severity frequency side effects different dependent several factors including gender age Altogether postvaccination adverse reactions mild tolerable
"Limited data exist for the association between bladder cancers and waterpipe smoking, an emerging global public health concern.",Limited data exist association bladder cancers waterpipe smoking emerging global public health concern
"Frailty is a state of increased vulnerability from physical, social, and cognitive factors resulting in greater risk of negative health-related outcomes and increased healthcare expenditure. A 36-factor electronic frailty index (eFI) developed in the United Kingdom calculates frailty scores using electronic medical record data. There is currently no standardization of frailty screening in Canadian primary care. In order to implement the eFI in a Canadian context, adaptation of the tool is necessary because frailty is represented by different clinical terminologies in the UK and Canada. In considering the promise of implementing an eFI in British Columbia, Canada, we first looked at the content validation of the 36-factor eFI. Our research question was: Does the eFI represent frailty from the perspectives of primary care clinicians and older adults in British Columbia?",Frailty state increased vulnerability physical social cognitive factors resulting greater risk negative healthrelated outcomes increased healthcare expenditure 36factor electronic frailty index eFI developed United Kingdom calculates frailty scores using electronic medical record data currently standardization frailty screening Canadian primary care order implement eFI Canadian context adaptation tool necessary frailty represented different clinical terminologies UK Canada considering promise implementing eFI British Columbia Canada first looked content validation 36factor eFI research question eFI represent frailty perspectives primary care clinicians older adults British Columbia
"Non-alcoholic fatty liver disease (NAFLD) is a systemic disorder with a complex multifactorial and heterogeneous pathogenesis and has become the most common cause of chronic liver disease in many countries around the world. Numerous studies in Iran have presented different results on the prevalence and risk factors of NAFLD, in this study, which has been done in a systematic review and meta-analysis, provides a good estimate of the prevalence and risk factors of the disease in Iran. Following the peer review of electronic search strategies (PRESS and the preferred reporting items for systematic reviews and meta-analyses [PRISMA] statement, we searched Web of Science, PubMed, Embase, Scopus, and Persian scientific searcher (Elmnet) from inception to September 19, 2022. In the present study, 71 articles were reviewed for qualitative and meta-analysis. The overall mean prevalence of NAFLD in children studies was 22.4% (95% confidence interval [CI]: 10.9% to 33.9%). The prevalence was notably higher in adult studies 40.5% (95% CI: 35.1% to 46%). In 24 studies, the association between NAFLD and sex was reported, 10 of which showed significant relationships. Out of 46 studies observed that NAFLD prevalence increased significantly with body mass index (BMI). Eight out of 14 studies reported significant associations between FBS and NAFLD in children's studies. Though Iran has a high NAFLD prevalence compared to most areas, and due to the unfavorable situation of risk factors contributing to the NAFLD, it is necessary to take the necessary interventions to control these risk factors and prevent NAFLD.",Nonalcoholic fatty liver disease NAFLD systemic disorder complex multifactorial heterogeneous pathogenesis become common cause chronic liver disease many countries around world Numerous studies Iran presented different results prevalence risk factors NAFLD study done systematic review metaanalysis provides good estimate prevalence risk factors disease Iran Following peer review electronic search strategies PRESS preferred reporting items systematic reviews metaanalyses PRISMA statement searched Web Science PubMed Embase Scopus Persian scientific searcher Elmnet inception September 19 2022 present study 71 articles reviewed qualitative metaanalysis overall mean prevalence NAFLD children studies 224 95 confidence interval CI 109 339 prevalence notably higher adult studies 405 95 CI 351 46 24 studies association NAFLD sex reported 10 showed significant relationships 46 studies observed NAFLD prevalence increased significantly body mass index BMI Eight 14 studies reported significant associations FBS NAFLD childrens studies Though Iran high NAFLD prevalence compared areas due unfavorable situation risk factors contributing NAFLD necessary take necessary interventions control risk factors prevent NAFLD
"The objective of this study is to investigate the correlation between the neighborhood deprivation index and survival rates of cancer patients in Korea. In this study, 5-year age-standardized survival rates of patients with cancer were determined using the National Cancer Cohort from 2014 to 2018 in Korea. The primary cancer sites were the stomach, colorectum, liver, lung, breast, cervix, prostate, and thyroid. Disparities were measured, and their impact on the overall survival rates was assessed using the Korean version of the Neighborhood Deprivation Index. Pearson's correlation coefficient was calculated to determine the strength of the correlation. The study cohort comprised 726,665 patients with cancer, of whom 50.7% were male. The predominant primary cancer sites were the stomach (",objective study investigate correlation neighborhood deprivation index survival rates cancer patients Korea study 5year agestandardized survival rates patients cancer determined using National Cancer Cohort 2014 2018 Korea primary cancer sites stomach colorectum liver lung breast cervix prostate thyroid Disparities measured impact overall survival rates assessed using Korean version Neighborhood Deprivation Index Pearsons correlation coefficient calculated determine strength correlation study cohort comprised 726665 patients cancer 507 male predominant primary cancer sites stomach
"Disparities exist in the access to living donor liver transplantation (LDLT) in the United States. However, the association of neighborhood-level social determinants of health (SDoH) on the receipt of LDLT is not well-established. This was a retrospective cohort study of adult liver transplant recipients between January 1, 2005 and December 31, 2021 at centers performing LDLT using the United Network for Organ Sharing database, which was linked through patients' ZIP code to a set of 24 neighborhood-level SDoH measures from different data sources. Temporal trends and center differences in neighborhood Social Deprivation Index (SDI), a validated scale of socioeconomic deprivation ranging from 0 to 100 (0=least disadvantaged), were assessed by transplant type. Multivariable logistic regression evaluated the association of increasing SDI on receipt of LDLT [vs. deceased donor liver transplantation (DDLT)]. There were 51,721 DDLT and 4026 LDLT recipients at 59 LDLT-performing centers during the study period. Of the 24 neighborhood-level SDoH measures studied, the SDI was most different between the 2 transplant types, with LDLT recipients having lower SDI (ie, less socioeconomic disadvantage) than DDLT recipients (median SDI 37 vs. 47; p < 0.001). The median difference in SDI between the LDLT and DDLT groups significantly decreased from 13 in 2005 to 3 in 2021 ( p = 0.003). In the final model, the SDI quintile was independently associated with transplant type ( p < 0.001) with a threshold SDI of ~40, above which increasing SDI was significantly associated with reduced odds of LDLT (vs. reference SDI 1-20). As a neighborhood-level SDoH measure, SDI is useful for evaluating disparities in the context of LDLT. Center outreach efforts that aim to reduce disparities in LDLT could preferentially target US ZIP codes with SDI > 40.",Disparities exist access living donor liver transplantation LDLT United States However association neighborhoodlevel social determinants health SDoH receipt LDLT wellestablished retrospective cohort study adult liver transplant recipients January 1 2005 December 31 2021 centers performing LDLT using United Network Organ Sharing database linked patients ZIP code set 24 neighborhoodlevel SDoH measures different data sources Temporal trends center differences neighborhood Social Deprivation Index SDI validated scale socioeconomic deprivation ranging 0 100 0least disadvantaged assessed transplant type Multivariable logistic regression evaluated association increasing SDI receipt LDLT vs deceased donor liver transplantation DDLT 51721 DDLT 4026 LDLT recipients 59 LDLTperforming centers study period 24 neighborhoodlevel SDoH measures studied SDI different 2 transplant types LDLT recipients lower SDI ie less socioeconomic disadvantage DDLT recipients median SDI 37 vs 47 p 0001 median difference SDI LDLT DDLT groups significantly decreased 13 2005 3 2021 p 0003 final model SDI quintile independently associated transplant type p 0001 threshold SDI 40 increasing SDI significantly associated reduced odds LDLT vs reference SDI 120 neighborhoodlevel SDoH measure SDI useful evaluating disparities context LDLT Center outreach efforts aim reduce disparities LDLT could preferentially target US ZIP codes SDI 40
"Cancer is one of the main causes of death, and cervical cancer is the fourth most common cancer and the fourth leading cause of death from malignancy among women. Knowing the survival rate is used to evaluate the success of current treatments and care. This study was conducted to assess the survival rate of cervical cancer in Asia.",Cancer one main causes death cervical cancer fourth common cancer fourth leading cause death malignancy among women Knowing survival rate used evaluate success current treatments care study conducted assess survival rate cervical cancer Asia
The reference intervals (RIs) for liver function tests (LFTs) were determined in Iranian children for the first time.,reference intervals RIs liver function tests LFTs determined Iranian children first time
"Non-alcoholic fatty liver disease (NAFLD) has a benign course in several patients; however, a serious form of this disease can turn into liver failure, liver cirrhosis, and hepatocellular carcinoma.",Nonalcoholic fatty liver disease NAFLD benign course several patients however serious form disease turn liver failure liver cirrhosis hepatocellular carcinoma
"The global liver community established a more precise criteria to characterize steatotic liver disease (SLD), specifically metabolic dysfunction-associated steatotic liver disease (MASLD) and metabolic dysfunction-associated and alcohol-associated liver disease (MetALD). We aimed to estimate the burden of SLD subtypes and unfavorable social determinants of health (SDOH) in US adults and whether clinical and social factors drive disparities across racial/ethnic subgroups.",global liver community established precise criteria characterize steatotic liver disease SLD specifically metabolic dysfunctionassociated steatotic liver disease MASLD metabolic dysfunctionassociated alcoholassociated liver disease MetALD aimed estimate burden SLD subtypes unfavorable social determinants health SDOH US adults whether clinical social factors drive disparities across racialethnic subgroups
Social determinants of health can impact the quality of liver transplantation (LT) care. We sought to assess whether the association between neighborhood deprivation and transplant outcomes can be mitigated by receiving care at high-quality transplant centers.,Social determinants health impact quality liver transplantation LT care sought assess whether association neighborhood deprivation transplant outcomes mitigated receiving care highquality transplant centers
"To examine neighborhood-level disparities in waitlist mortality for adult liver transplantation (LT), we developed novel area-based social determinants of health (SDOH) index using a national transplant database.",examine neighborhoodlevel disparities waitlist mortality adult liver transplantation LT developed novel areabased social determinants health SDOH index using national transplant database
Hypertension (HTN) is one of the primary risk factors for heart disease and stroke worldwide. The present meta-analysis was aimed to systematically review and statistically estimate the prevalence rate of pre-hypertension (PHTN) and HTN in the Iranian child/adolescent and adult age groups.,Hypertension HTN one primary risk factors heart disease stroke worldwide present metaanalysis aimed systematically review statistically estimate prevalence rate prehypertension PHTN HTN Iranian childadolescent adult age groups
Changes in strategies in the coronavirus disease 2019 (COVID-19) crisis and the imposing of restrictions have isolated many vulnerable patients including those with hepatocellular carcinoma (HCC) from routine medical care. This study investigated how the COVID-19 pandemic is affecting the diagnosis and treatment of HCC.,Changes strategies coronavirus disease 2019 COVID19 crisis imposing restrictions isolated many vulnerable patients including hepatocellular carcinoma HCC routine medical care study investigated COVID19 pandemic affecting diagnosis treatment HCC
"To identify independent predictors of all-cause and cancer-specific mortality after ablation or surgical resection (SR) for small hepatocellular carcinomas (HCCs), after adjusting for key confounders.",identify independent predictors allcause cancerspecific mortality ablation surgical resection SR small hepatocellular carcinomas HCCs adjusting key confounders
"Vaginal cancer is one of the major causes of mortality in women, which mostly takes place in low- and middle-income countries. Assessing the survival rate of vaginal cancer is essential to investigate the success rate of current treatments and screening tools. This study aims to determine the survival rate of vaginal cancer in Asia.",Vaginal cancer one major causes mortality women mostly takes place low middleincome countries Assessing survival rate vaginal cancer essential investigate success rate current treatments screening tools study aims determine survival rate vaginal cancer Asia
"Safety-net hospitals (SNHs) and facilities are the cornerstone of healthcare services for the medically underserved. The burden of chronic liver disease-including end-stage manifestations of cirrhosis and liver cancer-is high and rising among populations living in poverty who primarily seek and receive care in safety-net settings. For many reasons related to social determinants of health, these individuals often present with delayed diagnoses and disease presentations, resulting in higher liver-related mortality. With recent state-based policy changes such as Medicaid expansion that impact access to insurance and critical health services, an overview of the body of literature on SNH care for chronic liver disease is timely and informative for the liver disease community. In this narrative review, we discuss controversies in the definition of a SNH and summarize the known disparities in the cascade of the care and management of common liver-related conditions: (1) steatotic liver disease, (2) liver cancer, (3) chronic viral hepatitis, and (4) cirrhosis and liver transplantation. In addition, we review the specific impact of Medicaid expansion on safety-net systems and liver disease outcomes and highlight effective provider- and system-level interventions. Lastly, we address remaining gaps and challenges to optimizing care for vulnerable populations with chronic liver disease in safety-net settings.",Safetynet hospitals SNHs facilities cornerstone healthcare services medically underserved burden chronic liver diseaseincluding endstage manifestations cirrhosis liver canceris high rising among populations living poverty primarily seek receive care safetynet settings many reasons related social determinants health individuals often present delayed diagnoses disease presentations resulting higher liverrelated mortality recent statebased policy changes Medicaid expansion impact access insurance critical health services overview body literature SNH care chronic liver disease timely informative liver disease community narrative review discuss controversies definition SNH summarize known disparities cascade care management common liverrelated conditions 1 steatotic liver disease 2 liver cancer 3 chronic viral hepatitis 4 cirrhosis liver transplantation addition review specific impact Medicaid expansion safetynet systems liver disease outcomes highlight effective provider systemlevel interventions Lastly address remaining gaps challenges optimizing care vulnerable populations chronic liver disease safetynet settings
"Primary sclerosing cholangitis (PSC) is a rare type of autoimmune hepatic disease with unknown pathophysiology, often a sequela of ulcerative colitis (UC). Liver transplant, though curative, is inaccessible to many patients due to stringent organ availability and barriers to sufficient insurance coverage. Low health literacy and low socioeconomic class can significantly limit healthcare access and thus worsen overall healthcare outcomes. Here, we present the case of an uninsured 49-year-old man with untreated UC who was diagnosed with PSC and subsequently became lost to follow-up. It is critical for providers to identify barriers to acquiring appropriate medical care, such as financial instability and low health literacy, when identifying and treating conditions like PSC. Moreover, more research should be performed to investigate alternative treatments for PSC.",Primary sclerosing cholangitis PSC rare type autoimmune hepatic disease unknown pathophysiology often sequela ulcerative colitis UC Liver transplant though curative inaccessible many patients due stringent organ availability barriers sufficient insurance coverage Low health literacy low socioeconomic class significantly limit healthcare access thus worsen overall healthcare outcomes present case uninsured 49yearold man untreated UC diagnosed PSC subsequently became lost followup critical providers identify barriers acquiring appropriate medical care financial instability low health literacy identifying treating conditions like PSC Moreover research performed investigate alternative treatments PSC
Hepatocellular carcinoma (HCC) disproportionately impacts racial and ethnic minorities and patients with lower socioeconomic status. These social determinants of health (SDH) lead to disparities in access to care and outcomes. We aim to understand the relationship between SDH and survival and locoregional treatment options in HCC.,Hepatocellular carcinoma HCC disproportionately impacts racial ethnic minorities patients lower socioeconomic status social determinants health SDH lead disparities access care outcomes aim understand relationship SDH survival locoregional treatment options HCC
"The social determinants of health contribute to adverse post-liver transplant outcomes. Identifying unmet social risks may enable transplant teams to improve long-term outcomes for at-risk children. However, providers may feel uncomfortable asking about household-level social risks in the posttransplant period because they might make their patients/families uncomfortable.",social determinants health contribute adverse postliver transplant outcomes Identifying unmet social risks may enable transplant teams improve longterm outcomes atrisk children However providers may feel uncomfortable asking householdlevel social risks posttransplant period might make patientsfamilies uncomfortable
"Social determinants of health and associated systems, policies, and practices are important drivers of health disparities. American Indian and Alaska Native (AI/AN) populations in the United States have elevated incidence rates of stomach, liver, and colorectal cancers compared with other racial/ethnic groups. In this study, we examined incidence rates of 3 types of gastrointestinal cancer among non-Hispanic AI/AN (NH-AI/AN) and non-Hispanic White (NHW) populations by geographic region and Social Vulnerability Index (SVI) score. Incident cases diagnosed during 2010-2019 were identified from population-based cancer registries linked with the Indian Health Service patient registration databases. Age-adjusted incidence rates (per 100,000 population) for stomach, liver, and colorectal cancers were compared within NH-AI/AN populations and between the NH-AI/AN and NHW populations by SVI score. Rates were higher among NH-AI/AN populations in moderate- and high-SVI-score counties in Alaska, the Southern Plains, and the East than in low-SVI counties. Incidence rates among NH-AI/AN populations were elevated when compared with NHW populations by SVI category. Results indicated that higher social vulnerability may drive elevated cancer incidence among NH-AI/AN populations. Additionally, disparities between NH-AI/AN and NHW populations persist even when accounting for SVI. Exploring social vulnerability can aid in designing more effective interventions to address root causes of cancer disparities among AI/AN populations.",Social determinants health associated systems policies practices important drivers health disparities American Indian Alaska Native AIAN populations United States elevated incidence rates stomach liver colorectal cancers compared racialethnic groups study examined incidence rates 3 types gastrointestinal cancer among nonHispanic AIAN NHAIAN nonHispanic White NHW populations geographic region Social Vulnerability Index SVI score Incident cases diagnosed 20102019 identified populationbased cancer registries linked Indian Health Service patient registration databases Ageadjusted incidence rates per 100000 population stomach liver colorectal cancers compared within NHAIAN populations NHAIAN NHW populations SVI score Rates higher among NHAIAN populations moderate highSVIscore counties Alaska Southern Plains East lowSVI counties Incidence rates among NHAIAN populations elevated compared NHW populations SVI category Results indicated higher social vulnerability may drive elevated cancer incidence among NHAIAN populations Additionally disparities NHAIAN NHW populations persist even accounting SVI Exploring social vulnerability aid designing effective interventions address root causes cancer disparities among AIAN populations
"Non-alcoholic fatty liver disease (NAFLD) is widespread worldwide. On the other hand, social inequality and socioeconomic status (SES) can affect all aspects of health. Therefore, this study aimed to investigate the relationship between SES indicators and NAFLD.",Nonalcoholic fatty liver disease NAFLD widespread worldwide hand social inequality socioeconomic status SES affect aspects health Therefore study aimed investigate relationship SES indicators NAFLD
This study was undertaken to evaluate the role of regional social vulnerability in geographic disparity for patients listed for liver transplantation with non-hepatocellular carcinoma (HCC) model for end-stage liver disease (MELD) exceptions.,study undertaken evaluate role regional social vulnerability geographic disparity patients listed liver transplantation nonhepatocellular carcinoma HCC model endstage liver disease MELD exceptions
"Nonalcoholic fatty liver disease (NAFLD) is a prevalent chronic liver disease with a global prevalence, and modulation of ANGPTL8 expression has emerged as a promising predictor of NAFLD susceptibility. This research was conducted to scrutinize ANGPTL8 protein expression in NAFLD patients and elucidate the interplay between ANGPTL8 gene polymorphisms and their lipid profiles, thus shedding new light on the pathophysiology of this complex disease. The study comprised 423 unrelated participants, including 222 healthy controls and 201 individuals with NAFLD, screened using FibroScan/ultrasonography and laboratory tests. The main goal focused on the genotype and allele frequency distribution in the ANGPTL8 gene, specifically analyzing two genetic variations: rs737337 (T/C) and rs2278426 (C/T). The participants diagnosed with NAFLD were slightly younger (P ≥ 0.05) and had a higher body mass index (BMI) than the individuals in the control group. Notably, there was a significant difference in the occurrence of the rs737337 polymorphism between the NAFLD and control groups, with a lower frequency observed in the NAFLD group. Our results indicated that individuals with the TC + CC genotype and C allele of rs737337 (T/C) had a decreased risk of higher levels of ALT and AST. Conversely, those with the CT, CT + TT genotype, and T allele of rs2278426 (C/T) exhibited an increased risk of higher levels of ALT and AST. The results imply that the rs2278426 (C/T) variant of the ANGPTL8 gene is more strongly linked to an increased risk of NAFLD compared to the rs737337 polymorphism. However, additional research is needed to understand the specific molecular mechanisms responsible for the upregulation of ANGPTL8 in individuals with NAFLD.",Nonalcoholic fatty liver disease NAFLD prevalent chronic liver disease global prevalence modulation ANGPTL8 expression emerged promising predictor NAFLD susceptibility research conducted scrutinize ANGPTL8 protein expression NAFLD patients elucidate interplay ANGPTL8 gene polymorphisms lipid profiles thus shedding new light pathophysiology complex disease study comprised 423 unrelated participants including 222 healthy controls 201 individuals NAFLD screened using FibroScanultrasonography laboratory tests main goal focused genotype allele frequency distribution ANGPTL8 gene specifically analyzing two genetic variations rs737337 TC rs2278426 CT participants diagnosed NAFLD slightly younger P 005 higher body mass index BMI individuals control group Notably significant difference occurrence rs737337 polymorphism NAFLD control groups lower frequency observed NAFLD group results indicated individuals TC CC genotype C allele rs737337 TC decreased risk higher levels ALT AST Conversely CT CT TT genotype allele rs2278426 CT exhibited increased risk higher levels ALT AST results imply rs2278426 CT variant ANGPTL8 gene strongly linked increased risk NAFLD compared rs737337 polymorphism However additional research needed understand specific molecular mechanisms responsible upregulation ANGPTL8 individuals NAFLD
"The synthesis and degradation of endocannabinoids, location of cannabinoid (CB) receptors, and cannabinoid mechanisms of action on immune/inflammatory, neuromuscular, and sensory functions in digestive organs are well documented. CB",synthesis degradation endocannabinoids location cannabinoid CB receptors cannabinoid mechanisms action immuneinflammatory neuromuscular sensory functions digestive organs well documented CB
"Lip, oral, and pharyngeal cancers are important contributors to cancer burden worldwide, and a comprehensive evaluation of their burden globally, regionally, and nationally is crucial for effective policy planning.",Lip oral pharyngeal cancers important contributors cancer burden worldwide comprehensive evaluation burden globally regionally nationally crucial effective policy planning
"Social determinants of health (SDoH) can impact access to healthcare. We sought to assess the association between persistent poverty (PP), race/ethnicity, and opioid access among patients with gastrointestinal cancer near the end-of-life (EOL).",Social determinants health SDoH impact access healthcare sought assess association persistent poverty PP raceethnicity opioid access among patients gastrointestinal cancer near endoflife EOL
"Cirrhosis is rising in North America, driven partly by the epidemic of non-alcoholic fatty liver disease (NAFLD), most in women of reproductive age. Little is known about factors that impact perinatal outcomes and healthcare utilisation in pregnant women with NAFLD cirrhosis.",Cirrhosis rising North America driven partly epidemic nonalcoholic fatty liver disease NAFLD women reproductive age Little known factors impact perinatal outcomes healthcare utilisation pregnant women NAFLD cirrhosis
"Social determinants of health lead to better cancer care. This multi-site, single-institution study sought to capture data on social determinants of health data in Asian Americans with hepatocellular carcinoma; this group constitutes 60% of patients with this malignancy and are often undertreated or not treated at all.",Social determinants health lead better cancer care multisite singleinstitution study sought capture data social determinants health data Asian Americans hepatocellular carcinoma group constitutes 60 patients malignancy often undertreated treated
Royal jelly (RJ) may contribute to glycemic control and liver function through various mechanisms. The present study aimed to quantify the effect of RJ supplementation on these outcomes.,Royal jelly RJ may contribute glycemic control liver function various mechanisms present study aimed quantify effect RJ supplementation outcomes
"Pancreatic cancer (PC) is one of the most fatal malignancies, and its incidence and mortality rates are growing annually throughout the world. In this research, we aimed to investigate the time trends and identify the spatial clusters of incidence and mortality on a global scale over the last 30 years, using the Global Burden of Disease (GBD) study 2019 data.",Pancreatic cancer PC one fatal malignancies incidence mortality rates growing annually throughout world research aimed investigate time trends identify spatial clusters incidence mortality global scale last 30 years using Global Burden Disease GBD study 2019 data
"Cardiovascular disease (CVD) remains the most common cause of death worldwide and has become a public health concern. The proven notable risk factors for CVD are atherosclerosis, hypertension, diabetes, dyslipidemia, inflammation, and some genetic defects. However, research has shown a correlation between metabolic health, gut microbiota, and dietary risk factors. The gut microbiota makes an important contribution to human functional metabolic pathways by contributing enzymes that are not encoded by the human genome, for instance, the breakdown of polysaccharides, polyphenols and vitamins synthesis. TMAO and SCFAs, human gut microbiota compounds, have respective immunomodulatory and pro-inflammatory effects. Choline and l-carnitine are abundant in high-fat diets and are transformed into TMA by gut bacteria. The liver's phase of metabolism then changes TMA into TMAO. In turn, TMAO promotes the activation of macrophages, damages vascular endothelium, and results in CVD-however, dysbiosis decreases SCFAs and bile acids, which raises intestinal permeability. Congestion in the portal vein, a drop in cardiac output, a reduction in intestinal perfusion, and intestinal leakage are all caused by heart failure. These factors induce systemic inflammation by increasing intestinal leakage. By raising CRP and pro-inflammatory reactions, human gut dysbiosis and elevated TMAO levels promote the development of arterial plaque, hasten the beginning of atherosclerosis, and raise the risk of CAD. A healthy symbiosis between the gut microbiota and host is a key factor in shaping the biochemical profile of the diet, therefore which are crucial for maintaining the intestinal epithelial barrier, growing mucosa, reducing inflammation, and controlling blood pressure.",Cardiovascular disease CVD remains common cause death worldwide become public health concern proven notable risk factors CVD atherosclerosis hypertension diabetes dyslipidemia inflammation genetic defects However research shown correlation metabolic health gut microbiota dietary risk factors gut microbiota makes important contribution human functional metabolic pathways contributing enzymes encoded human genome instance breakdown polysaccharides polyphenols vitamins synthesis TMAO SCFAs human gut microbiota compounds respective immunomodulatory proinflammatory effects Choline lcarnitine abundant highfat diets transformed TMA gut bacteria livers phase metabolism changes TMA TMAO turn TMAO promotes activation macrophages damages vascular endothelium results CVDhowever dysbiosis decreases SCFAs bile acids raises intestinal permeability Congestion portal vein drop cardiac output reduction intestinal perfusion intestinal leakage caused heart failure factors induce systemic inflammation increasing intestinal leakage raising CRP proinflammatory reactions human gut dysbiosis elevated TMAO levels promote development arterial plaque hasten beginning atherosclerosis raise risk CAD healthy symbiosis gut microbiota host key factor shaping biochemical profile diet therefore crucial maintaining intestinal epithelial barrier growing mucosa reducing inflammation controlling blood pressure
